legacy_id,source_item_code,manual_code,item_type,source_number,source_text_sha256,source_status,governance_approval_status
DGI-029,DGI-02-E01,iSAFE-DGM-02,RISK_SIGNAL,1,496b00c9fab3685631faf8cc9f9910f6b7ba6e2fcda95415118193b506e8b5bd,SOURCE_FOUND,PENDING
DGI-030,DGI-02-E02,iSAFE-DGM-02,RISK_SIGNAL,2,3eeb138a8928362d1bfa6fb6a79aa0f54fca85389ab4d53b3ff1eb3fe1ef5898,SOURCE_FOUND,PENDING
DGI-031,DGI-02-E03,iSAFE-DGM-02,RISK_SIGNAL,3,bd3734351e8a895e87f8de57a068b09519c23ff01e5cae308cf2549a4f2fb5fd,SOURCE_FOUND,PENDING
DGI-032,DGI-02-E04,iSAFE-DGM-02,RISK_SIGNAL,4,c38c1a394eefd6ae6d3b2c7343f660b3d1093ac43c1e2b69dacbb4c11bf31abe,SOURCE_FOUND,PENDING
DGI-033,DGI-02-E05,iSAFE-DGM-02,RISK_SIGNAL,5,00df85d92322dd1eae6b6fab4a1080e2ef68dc4bb9c94722f3d5b89f5aef325b,SOURCE_FOUND,PENDING
DGI-034,DGI-02-P01,iSAFE-DGM-02,CONTROL,1,ff36fc88a4a6e9a46a0a58dfceb3549bbd95269b533683236cc131146e8a13ae,SOURCE_FOUND,PENDING
DGI-035,DGI-02-P02,iSAFE-DGM-02,CONTROL,2,0ae8771fb76a6973e18d4221c901119bc0ff55e92307f16860d1b5720109e593,SOURCE_FOUND,PENDING
DGI-036,DGI-02-P03,iSAFE-DGM-02,CONTROL,3,53a5e37ae3a7612570a372b2e0ce52b027095113eb1fab130d21dbc8e5b8d8e3,SOURCE_FOUND,PENDING
DGI-037,DGI-02-P04,iSAFE-DGM-02,CONTROL,4,302091b1b66dc409ecd136a9fa57b536a2a1abe42bd7ac798346741979cf6ec7,SOURCE_FOUND,PENDING
DGI-038,DGI-02-P05,iSAFE-DGM-02,CONTROL,5,bb48eaf4fdd44042d355148e17987d675bc4b185c2f655fcfdb7e3e82cb41f45,SOURCE_FOUND,PENDING
DGI-039,DGI-03-A01,iSAFE-DGM-03,REQUIREMENT,1,37b53b8ce58c3bac66ee2789deb60d7cf96c8e4ae98d0b5f5b369b79ce60c91b,SOURCE_FOUND,PENDING
DGI-040,DGI-03-A02,iSAFE-DGM-03,REQUIREMENT,2,08e21147c4a8908012b348e09f778b40357f43860a9914b3ffcaae66ba9770c7,SOURCE_FOUND,PENDING
DGI-041,DGI-03-A03,iSAFE-DGM-03,REQUIREMENT,3,68452791962e62f9f58c6701698b1d784c2a219a842860b1041fefcbd12798cf,SOURCE_FOUND,PENDING
DGI-042,DGI-03-A04,iSAFE-DGM-03,REQUIREMENT,4,4b64bfc6261813bb3112a723fa1013820ea5f7bb8efc93e3810ffd45b4731a24,SOURCE_FOUND,PENDING
DGI-043,DGI-03-A05,iSAFE-DGM-03,REQUIREMENT,5,97b9bda22df1e6292ec182cad00e419028181deceb7eb8d9f1e0061c0c188c9b,SOURCE_FOUND,PENDING
DGI-044,DGI-03-E01,iSAFE-DGM-03,RISK_SIGNAL,1,117ff27439943ea36769778467032c85a0288d5ddcc6e776c6f1439c436e2dfd,SOURCE_FOUND,PENDING
DGI-045,DGI-03-E02,iSAFE-DGM-03,RISK_SIGNAL,2,05a74d6e2639b4eb0fa445cfed795821c3e170f4b556c92f49840a539d10c042,SOURCE_FOUND,PENDING
DGI-046,DGI-03-E03,iSAFE-DGM-03,RISK_SIGNAL,3,4707c0c08895584b6484082b14c48bb39adc4247fd737598a2cf78bf1bcc513f,SOURCE_FOUND,PENDING
DGI-047,DGI-03-E04,iSAFE-DGM-03,RISK_SIGNAL,4,69e5bff0ed15f062943d3e515693001e91b18437704334ff88b51d91beab9233,SOURCE_FOUND,PENDING
DGI-048,DGI-03-P01,iSAFE-DGM-03,CONTROL,1,ecd7908dd003f5e572ad19420299d6f519f29f677acffb9c4e5b8a860feb8f82,SOURCE_FOUND,PENDING
DGI-049,DGI-03-P02,iSAFE-DGM-03,CONTROL,2,68b1526486761de66fc071706435a08ec41fb4362f42a0ef8b6982b689214475,SOURCE_FOUND,PENDING
DGI-050,DGI-03-P03,iSAFE-DGM-03,CONTROL,3,87378cffde465deddb60463a847b41f977f7a88f7fe724c805e3f7c5ca0b39d4,SOURCE_FOUND,PENDING
DGI-051,DGI-03-P04,iSAFE-DGM-03,CONTROL,4,1d8d134c96d2d56dcc68f8646a5726cde5d66bb39e45e568d3cc5f3ec4a9bc29,SOURCE_FOUND,PENDING
DGI-052,DGI-04-A01,iSAFE-DGM-04,REQUIREMENT,1,32b26b448878ebe67682e01ebcfa9e2138974819b1af7825b2a8c81f37b83e40,SOURCE_FOUND,PENDING
DGI-053,DGI-04-A02,iSAFE-DGM-04,REQUIREMENT,2,d0577682f2675d6a51f6ad71a77298453691ed0808b36cc48ca933c4754b148f,SOURCE_FOUND,PENDING
DGI-054,DGI-04-A03,iSAFE-DGM-04,REQUIREMENT,3,faf27ee64e05cb5f54f7a1a4b486aa2df1612640f194c07c1959ee49cedd248d,SOURCE_FOUND,PENDING
DGI-055,DGI-04-A04,iSAFE-DGM-04,REQUIREMENT,4,7b3e75dc4b54089d7cef06b6dc1b730cc7f1d1842d335eb229fb46aa440da616,SOURCE_FOUND,PENDING
DGI-056,DGI-04-A05,iSAFE-DGM-04,REQUIREMENT,5,f8000142f612d6ecd5824dfe2c5f046d2371df9b312754e32ca65405708d073c,SOURCE_FOUND,PENDING
DGI-057,DGI-04-E01,iSAFE-DGM-04,RISK_SIGNAL,1,3b35a5abff171a64a41f7f07d6db451b19d4dc12352f9d514207a08ccac56535,SOURCE_FOUND,PENDING
DGI-058,DGI-04-E02,iSAFE-DGM-04,RISK_SIGNAL,2,a847a2434de76e1f2ea20fed59e49c134fc6c42e90cb57c40da09de96cbf6abb,SOURCE_FOUND,PENDING
DGI-059,DGI-04-E03,iSAFE-DGM-04,RISK_SIGNAL,3,94cd6c7cccc6ab6dd24ac0efeb8b24ea994c2bccb7ea5fa981f0368b7286a937,SOURCE_FOUND,PENDING
DGI-060,DGI-04-E04,iSAFE-DGM-04,RISK_SIGNAL,4,f1ca512af30566bfbe932472887f3736894d99a9f7ea77c12f4f2807bd657b63,SOURCE_FOUND,PENDING
DGI-061,DGI-04-P01,iSAFE-DGM-04,CONTROL,1,6245fffdb6b369f6704d7016a5a5db874f0b549fc2647fbe8e6ade9e5367caad,SOURCE_FOUND,PENDING
DGI-062,DGI-04-P02,iSAFE-DGM-04,CONTROL,2,80c8f0211d09c0185f166e1f7ceba30c5457f67ce01986b909949ce3cc348a16,SOURCE_FOUND,PENDING
DGI-063,DGI-04-P03,iSAFE-DGM-04,CONTROL,3,784f32a7066c52d50e09b073cf904c25f4d7bc6e8f53aa3d56c1c5dedac8257a,SOURCE_FOUND,PENDING
DGI-064,DGI-04-P04,iSAFE-DGM-04,CONTROL,4,c9122b2ea071c8b9ca411a57dc7bd941481d193a9f3d1a4ff23f6957f56a5869,SOURCE_FOUND,PENDING
DGI-065,DGI-05-A01,iSAFE-DGM-05,REQUIREMENT,1,5b9cfc64a6b4c42f974d83d5baa5cfd6c9580b906365ce01760f8421755c80f0,SOURCE_FOUND,PENDING
DGI-066,DGI-05-A02,iSAFE-DGM-05,REQUIREMENT,2,ffd17779709c9b7443249b3daa2ffae4aa0361edd838593a86cabf8455cd5a3c,SOURCE_FOUND,PENDING
DGI-067,DGI-05-A03,iSAFE-DGM-05,REQUIREMENT,3,0cf2caf75045c785f038248a97b5d1e312eb9b721c03085dbc35ee5ba52e40a9,SOURCE_FOUND,PENDING
DGI-068,DGI-05-A04,iSAFE-DGM-05,REQUIREMENT,4,20d7b0932f41ed2a1ebcdd96ee76459e0ec59606d42e5fa45a2666b336c46591,SOURCE_FOUND,PENDING
DGI-069,DGI-05-A05,iSAFE-DGM-05,REQUIREMENT,5,2e2f499b5d7db2e5c4d404c995edc38da1a1ada752fca340780806ccad45a26d,SOURCE_FOUND,PENDING
DGI-070,DGI-05-E01,iSAFE-DGM-05,RISK_SIGNAL,1,a043120cdd08e832e4ced5a792c5545ace84eb3071cce756be2efdc9731759e8,SOURCE_FOUND,PENDING
DGI-071,DGI-05-E02,iSAFE-DGM-05,RISK_SIGNAL,2,01860b1b92b7fe07b9495248c325465dd0cb05262f0c313697391f5d949bbc30,SOURCE_FOUND,PENDING
DGI-072,DGI-05-E03,iSAFE-DGM-05,RISK_SIGNAL,3,8ff047b44615af62aa5cd141157c8b025f89dc4c8f28560cfbe74cc1cc3206d7,SOURCE_FOUND,PENDING
DGI-073,DGI-05-E04,iSAFE-DGM-05,RISK_SIGNAL,4,a5ae56f4998ba36e09746e88049a62f6376c3dd9c006b474add12e1a3040813e,SOURCE_FOUND,PENDING
DGI-074,DGI-05-E05,iSAFE-DGM-05,RISK_SIGNAL,5,b682f2b68ab288630b855d4d8f420b3105102e706889c7e22a16f9d8f95a60a7,SOURCE_FOUND,PENDING
DGI-075,DGI-05-P01,iSAFE-DGM-05,CONTROL,1,a3c788a4b1a35feebcfea18408056096a1c3e320c951b2e3610a98d7424b517d,SOURCE_FOUND,PENDING
DGI-076,DGI-05-P02,iSAFE-DGM-05,CONTROL,2,f5d3c6c37e12c35b2b7ad294dfada975acd0b900c7b07603a2728ee723cb8db3,SOURCE_FOUND,PENDING
DGI-077,DGI-05-P03,iSAFE-DGM-05,CONTROL,3,1dba93d4df8d3232e824b2ec4a17a41bc3cf486aa5cff2b712568917c8e322ba,SOURCE_FOUND,PENDING
DGI-078,DGI-05-P04,iSAFE-DGM-05,CONTROL,4,ed82b94b775955df7b41bf23a07e7bf151dd5d3c137c1e4b5d33c9e172c1dc88,SOURCE_FOUND,PENDING
DGI-079,DGI-05-P05,iSAFE-DGM-05,CONTROL,5,3459b273cdb87f0630de635173cdf215376d76065efbd71bfdc16f3518d6d3c9,SOURCE_FOUND,PENDING
